City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,Mahavelona,-17.6848,49.5087,20.99,69,100,5.95,MG,2023-07-15
302,Constantia,44.1833,28.65,22.61,75,0,3.87,RO,2023-07-15
303,Mumbwa,-14.9783,27.0619,13.9,50,0,2.75,ZM,2023-07-15
304,Vernon,50.2581,-119.2691,32.94,23,66,1.03,CA,2023-07-15
305,Jinghong,21.991,100.7341,22.31,99,86,0.99,CN,2023-07-15
306,Mooloolaba,-26.6833,153.1167,14.06,81,9,2.52,AU,2023-07-15
307,Sinabang,2.4803,96.3801,26.02,79,100,0.69,ID,2023-07-15
308,Castillos,-34.1667,-53.8333,11.12,63,90,3.7,UY,2023-07-15
309,Pitimbu,-7.4706,-34.8086,27.33,81,4,4.59,BR,2023-07-15
310,Mirriah,13.7073,9.1501,35.65,30,18,5.54,NE,2023-07-15
311,Horki,54.2861,30.9842,15.1,61,2,3.11,BY,2023-07-15
312,Sheridan,44.8333,-106.9173,28.9,38,0,1.79,US,2023-07-15
313,Takoradi,4.8845,-1.7554,25.21,87,10,3.59,GH,2023-07-15
314,La'Ie,21.6477,-157.9253,26.98,77,10,1.79,US,2023-07-15
315,Tyukhtet,56.5389,89.3011,13.83,96,40,3.02,RU,2023-07-15
316,El Burgo De Osma,41.5862,-3.0652,20.64,37,0,3.95,ES,2023-07-15
317,Sur,22.5667,59.5289,30.23,65,6,5.31,OM,2023-07-15
318,Tvardita,46.1547,28.9656,22.69,41,0,1.9,MD,2023-07-15
319,Emerald,-23.5333,148.1667,10.75,89,0,2.73,AU,2023-07-15
320,Zaterechnyy,44.7931,45.2097,24.51,47,76,2.91,RU,2023-07-15
321,Turpan,42.9333,89.1667,37.32,12,8,1.3,CN,2023-07-15
322,Ubon Ratchathani,15.1667,105.1667,28.94,80,100,2.89,TH,2023-07-15
323,Galliano,29.4422,-90.2992,37.22,52,40,5.14,US,2023-07-15
324,Portland,45.5234,-122.6762,34.99,37,20,3.6,US,2023-07-15
325,Richards Bay,-28.783,32.0377,16.35,60,5,2.6,ZA,2023-07-15
326,Atafu Village,-8.5421,-172.5159,28.55,71,25,5.72,TK,2023-07-15
327,Berdigestyakh,62.0989,126.6992,6.61,78,5,1.67,RU,2023-07-15
328,Alesund,62.4723,6.1549,18.84,81,0,1.54,NO,2023-07-15
329,Anloga,5.7947,0.8973,26.05,86,22,6.04,GH,2023-07-15
330,Tingi,-11.3,35.0333,12.98,72,0,0.84,TZ,2023-07-15
331,Saltillo,25.4167,-101.0,31.92,29,90,6.29,MX,2023-07-15
332,Fort St. John,56.2499,-120.8529,21.94,56,100,2.57,CA,2023-07-15
333,Mount Gambier,-37.8333,140.7667,8.73,82,73,2.44,AU,2023-07-15
334,Ascension,30.2169,-90.9001,36.76,51,40,3.6,US,2023-07-15
